epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,1016.05,0.91221,0.82115,1.28981,0.85406,0.57255,0.66812,0.49571,1.21936,1.08688,1.54877,0.000614,0.000614,0.000614
51,1040.36,0.9294,0.81796,1.30026,0.84756,0.60437,0.67702,0.4739,1.14383,1.05639,1.51182,0.000585714,0.000585714,0.000585714
52,1065.6,0.92166,0.83989,1.31329,0.81313,0.61491,0.68215,0.49232,1.31201,1.16935,1.66353,0.000557429,0.000557429,0.000557429
53,1087.95,0.91168,0.79271,1.29009,0.77278,0.67391,0.71897,0.49998,1.20874,1.16682,1.52302,0.000529143,0.000529143,0.000529143
54,1110.12,0.89199,0.76315,1.27312,0.74883,0.61576,0.66086,0.4834,1.30946,1.16987,1.65957,0.000500857,0.000500857,0.000500857
55,1128.31,0.91512,0.76568,1.28549,0.8386,0.58696,0.67801,0.48845,1.28058,1.13895,1.68139,0.000472571,0.000472571,0.000472571
56,1153.33,0.91512,0.7947,1.29207,0.81305,0.61458,0.66976,0.48592,1.31507,1.08581,1.64417,0.000444286,0.000444286,0.000444286
57,1167.1,0.88827,0.74434,1.24394,0.87647,0.57609,0.66323,0.47783,1.33975,1.17196,1.69846,0.000416,0.000416,0.000416
58,1180.47,0.87456,0.74599,1.26927,0.78968,0.65217,0.68677,0.48131,1.35133,1.16971,1.6524,0.000387714,0.000387714,0.000387714
59,1214.73,0.84431,0.73192,1.2626,0.80277,0.58696,0.66219,0.48385,1.22394,1.16511,1.59289,0.000359429,0.000359429,0.000359429
60,1233.92,0.86892,0.74166,1.2837,0.87216,0.59328,0.66641,0.49789,1.18246,1.05564,1.55356,0.000331143,0.000331143,0.000331143
61,1301.7,0.80066,0.72103,1.25079,0.89424,0.59783,0.67389,0.47671,1.26013,1.13375,1.65954,0.000302857,0.000302857,0.000302857
62,1323.79,0.78486,0.67028,1.20083,0.87057,0.6087,0.68007,0.4882,1.29815,1.12747,1.66463,0.000274571,0.000274571,0.000274571
63,1350.89,0.81617,0.70731,1.24926,0.9164,0.5958,0.68034,0.48457,1.28829,1.104,1.60761,0.000246286,0.000246286,0.000246286
64,1377.02,0.7665,0.64764,1.20854,0.88319,0.61957,0.705,0.50948,1.17926,1.1083,1.50111,0.000218,0.000218,0.000218
65,1403.29,0.78014,0.66054,1.24183,0.90478,0.59783,0.67777,0.48697,1.21939,1.12454,1.55754,0.000189714,0.000189714,0.000189714
66,1417.33,0.71036,0.5845,1.14095,0.88476,0.61957,0.66457,0.47293,1.24247,1.15803,1.5873,0.000161429,0.000161429,0.000161429
67,1431.84,0.72946,0.6,1.17069,0.87587,0.61957,0.67659,0.48862,1.20472,1.11967,1.55441,0.000133143,0.000133143,0.000133143
68,1454.96,0.7116,0.57871,1.16529,0.91541,0.61957,0.69167,0.50885,1.24732,1.09696,1.59016,0.000104857,0.000104857,0.000104857
69,1468.46,0.68134,0.56756,1.15279,0.92055,0.62975,0.69629,0.50795,1.17436,1.09828,1.51593,7.65714e-05,7.65714e-05,7.65714e-05
70,1477.69,0.69073,0.55973,1.10017,0.90164,0.61957,0.69103,0.50527,1.21178,1.09757,1.55837,4.82857e-05,4.82857e-05,4.82857e-05
