epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7043,1.15464,2.45698,1.51507,0.00625,0.81522,0.26954,0.15339,1.47885,2.85983,1.69801,0.00056,0.00056,0.00056
2,52.2536,1.3892,2.12327,1.67658,0.62182,0.12525,0.27444,0.13485,1.60054,2.71906,2.0076,0.00112388,0.00112388,0.00112388
3,85.2187,1.46319,2.09762,1.75061,0.46752,0.38043,0.34406,0.11561,1.79886,2.65575,2.44039,0.00167135,0.00167135,0.00167135
4,118.673,1.47137,2.0222,1.73109,0.06934,0.19565,0.03325,0.01356,2.38771,3.48553,3.40139,0.00191514,0.00191514,0.00191514
5,147.779,1.51661,1.98249,1.71323,0.02788,0.03261,0.01362,0.00419,3.17242,3.70533,3.69531,0.00188686,0.00188686,0.00188686
6,177.729,1.48225,1.86599,1.69241,0.36138,0.19565,0.17814,0.0803,2.22945,2.55924,2.55581,0.00185857,0.00185857,0.00185857
7,191.901,1.45809,1.76815,1.71554,0.1867,0.25202,0.12766,0.04757,2.17422,4.98419,2.6062,0.00183029,0.00183029,0.00183029
8,220.779,1.46008,1.75418,1.74779,0.36507,0.27174,0.26827,0.1245,2.08589,2.63863,2.43562,0.001802,0.001802,0.001802
9,240.986,1.43467,1.68564,1.66789,0.68693,0.5,0.51257,0.30042,1.7361,1.90416,2.14581,0.00177371,0.00177371,0.00177371
10,267.958,1.41002,1.61163,1.63301,0.69246,0.53848,0.55571,0.34736,1.52645,1.68368,1.9656,0.00174543,0.00174543,0.00174543
11,284.057,1.35799,1.48494,1.58568,0.53157,0.48913,0.47799,0.24907,1.72598,1.9032,2.10192,0.00171714,0.00171714,0.00171714
12,307.484,1.38908,1.55502,1.65932,0.80925,0.40217,0.52353,0.30082,1.81311,1.8482,2.21628,0.00168886,0.00168886,0.00168886
13,323.604,1.2952,1.39187,1.5668,0.71585,0.46739,0.54651,0.32913,1.59265,1.72948,1.99308,0.00166057,0.00166057,0.00166057
14,338.204,1.31982,1.44162,1.57995,0.65891,0.37799,0.43685,0.27364,1.64225,1.92367,1.94769,0.00163229,0.00163229,0.00163229
15,350.663,1.26183,1.30958,1.53374,0.62774,0.53156,0.55001,0.33358,1.68003,1.93056,2.06401,0.001604,0.001604,0.001604
16,371.28,1.32593,1.37301,1.61391,0.77412,0.45652,0.53055,0.34442,1.68485,1.79956,2.00834,0.00157571,0.00157571,0.00157571
17,386.937,1.27162,1.2914,1.55317,0.71728,0.45652,0.49251,0.27911,1.80716,2.06471,2.16575,0.00154743,0.00154743,0.00154743
18,406.892,1.30582,1.41239,1.59234,0.612,0.58696,0.59546,0.37989,1.47975,1.39487,1.80131,0.00151914,0.00151914,0.00151914
19,421.292,1.16487,1.1994,1.47981,0.84038,0.52174,0.58951,0.3889,1.53528,1.34141,1.90989,0.00149086,0.00149086,0.00149086
20,450.03,1.25657,1.32248,1.56989,0.80204,0.51087,0.60809,0.40019,1.57618,1.47415,1.90346,0.00146257,0.00146257,0.00146257
21,466.613,1.15729,1.1762,1.46609,0.70387,0.51087,0.55718,0.34697,1.67063,1.55963,2.05813,0.00143429,0.00143429,0.00143429
22,477.074,1.20042,1.16998,1.48967,0.85892,0.46329,0.57019,0.39231,1.524,1.55517,1.92674,0.001406,0.001406,0.001406
23,491.417,1.17416,1.16195,1.43623,0.78075,0.52174,0.5694,0.39324,1.54252,1.48143,1.90701,0.00137771,0.00137771,0.00137771
24,505.848,1.16043,1.16266,1.47937,0.76867,0.54348,0.61616,0.41507,1.44509,1.39888,1.76339,0.00134943,0.00134943,0.00134943
25,533.316,1.18077,1.15773,1.49839,0.85393,0.57609,0.658,0.44066,1.38638,1.19893,1.73876,0.00132114,0.00132114,0.00132114
26,548.331,1.11679,1.1197,1.47303,0.73601,0.5455,0.61266,0.38754,1.54982,1.37767,1.79705,0.00129286,0.00129286,0.00129286
27,565.967,1.12544,1.12541,1.43467,0.83429,0.53261,0.63408,0.42558,1.43687,1.33607,1.75291,0.00126457,0.00126457,0.00126457
28,577.985,1.09941,1.06636,1.42592,0.81248,0.56516,0.629,0.43169,1.44044,1.37111,1.71246,0.00123629,0.00123629,0.00123629
29,601.414,1.10339,1.06366,1.4679,0.68274,0.60818,0.62364,0.44047,1.39035,1.30633,1.71432,0.001208,0.001208,0.001208
30,630.648,1.12118,1.05226,1.42218,0.84701,0.52174,0.58734,0.40728,1.36274,1.38424,1.75725,0.00117971,0.00117971,0.00117971
31,652.765,1.14261,1.0857,1.45188,0.79701,0.55481,0.62494,0.39858,1.52386,1.33327,1.92954,0.00115143,0.00115143,0.00115143
32,669.643,1.137,1.05326,1.45107,0.70532,0.59783,0.63724,0.41539,1.42429,1.26536,1.71254,0.00112314,0.00112314,0.00112314
33,687,1.05565,1.005,1.40582,0.69605,0.57609,0.63849,0.41701,1.377,1.20026,1.67779,0.00109486,0.00109486,0.00109486
34,702.689,1.07476,1.00387,1.40779,0.90092,0.58696,0.6485,0.44507,1.28925,1.18213,1.64112,0.00106657,0.00106657,0.00106657
35,714.246,1.05431,0.9755,1.37464,0.85414,0.54348,0.6258,0.43811,1.44526,1.25302,1.8061,0.00103829,0.00103829,0.00103829
36,729.512,1.07836,0.9747,1.4235,0.74602,0.54278,0.62237,0.42874,1.43655,1.21802,1.76436,0.00101,0.00101,0.00101
37,745.462,1.05017,1.01467,1.39498,0.86385,0.51087,0.61459,0.40419,1.40865,1.29087,1.7421,0.000981714,0.000981714,0.000981714
38,761.27,1.03417,0.95811,1.37731,0.80634,0.61957,0.67654,0.46717,1.36241,1.19611,1.71002,0.000953429,0.000953429,0.000953429
39,784.481,1.032,0.9912,1.40862,0.8674,0.49774,0.59497,0.43387,1.34725,1.29466,1.70991,0.000925143,0.000925143,0.000925143
40,796.769,1.00117,0.92522,1.36576,0.90827,0.5382,0.66263,0.46328,1.28002,1.17945,1.58637,0.000896857,0.000896857,0.000896857
41,823.872,1.01899,0.90407,1.33904,0.73201,0.5,0.5518,0.36112,1.61816,1.76477,2.02955,0.000868571,0.000868571,0.000868571
42,837.392,1.00517,0.87586,1.33951,0.85009,0.58696,0.66,0.45447,1.36919,1.27599,1.69536,0.000840286,0.000840286,0.000840286
43,856.662,0.99225,0.90382,1.35369,0.84802,0.53261,0.59994,0.43839,1.30518,1.22794,1.63223,0.000812,0.000812,0.000812
44,872.793,0.96615,0.8588,1.32106,0.7649,0.59783,0.64277,0.46104,1.2991,1.21221,1.68513,0.000783714,0.000783714,0.000783714
45,889.005,0.95669,0.86831,1.34313,0.82206,0.59783,0.64722,0.44678,1.35436,1.15287,1.71307,0.000755429,0.000755429,0.000755429
46,918.311,0.96565,0.8718,1.33385,0.79808,0.58696,0.64575,0.44285,1.34703,1.21384,1.68084,0.000727143,0.000727143,0.000727143
47,940.42,0.93152,0.81831,1.31636,0.82446,0.58696,0.64665,0.45381,1.28784,1.19534,1.62089,0.000698857,0.000698857,0.000698857
48,974.192,0.97545,0.85644,1.33317,0.77667,0.6087,0.63695,0.44482,1.38225,1.19261,1.66751,0.000670571,0.000670571,0.000670571
49,994.968,0.95631,0.8492,1.3432,0.84486,0.6413,0.70145,0.4976,1.25713,1.05625,1.56373,0.000642286,0.000642286,0.000642286
